Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Manchester City,9,7,2,0,20,9,11,23
Liverpool,9,7,1,1,17,5,12,22
Arsenal,9,5,3,1,17,10,7,18
Aston Villa,9,5,3,1,16,11,5,18
Chelsea,9,5,2,2,19,11,8,17
Brighton & Hove Albion,9,4,4,1,16,12,4,16
Nottingham Forest,9,4,4,1,11,7,4,16
Tottenham Hotspur,9,4,1,4,18,10,8,13
Brentford,9,4,1,4,18,18,0,13
Fulham,9,3,3,3,12,12,0,12
AFC Bournemouth,9,3,3,3,11,11,0,12
Newcastle United,9,3,3,3,9,10,-1,12
West Ham United,9,3,2,4,13,16,-3,11
Manchester United,9,3,2,4,8,11,-3,11
Leicester City,9,2,3,4,13,17,-4,9
Everton,9,2,3,4,10,16,-6,9
Crystal Palace,9,1,3,5,6,11,-5,6
Ipswich Town,9,0,4,5,9,20,-11,4
Wolverhampton Wanderers,9,0,2,7,12,25,-13,2
Southampton,9,0,1,8,6,19,-13,1
