Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Manchester City,19,16,2,1,45,13,32,50
Tottenham Hotspur,19,10,4,5,34,20,14,34
Manchester United,19,10,4,5,30,19,11,34
Chelsea,19,10,3,6,32,22,10,33
Liverpool,19,9,5,5,39,28,11,32
Burnley,19,7,7,5,20,22,-2,28
Leicester City,19,5,5,9,31,38,-7,20
Crystal Palace,19,4,6,9,16,28,-12,18
AFC Bournemouth,19,4,6,9,19,31,-12,18
Southampton,19,3,8,8,17,30,-13,17
Arsenal,19,4,4,11,20,31,-11,16
Newcastle United,19,4,4,11,18,30,-12,16
West Ham United,19,3,6,10,24,42,-18,15
Everton,19,3,6,10,16,36,-20,15
Watford,19,4,2,13,17,33,-16,14
Huddersfield Town,19,3,5,11,12,33,-21,14
West Bromwich Albion,19,3,4,12,10,27,-17,13
Stoke City,19,2,7,10,15,38,-23,13
Swansea City,19,2,6,11,11,32,-21,12
Brighton & Hove Albion,19,2,5,12,10,29,-19,11
