Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Chelsea,5,5,0,0,16,4,12,15
Arsenal,5,5,0,0,13,2,11,15
Manchester City,5,4,1,0,17,4,13,13
Swansea City,5,4,1,0,8,2,6,13
Tottenham Hotspur,5,4,0,1,17,4,13,12
AFC Bournemouth,5,3,2,0,10,4,6,11
Liverpool,5,3,1,1,9,2,7,10
West Ham United,5,2,2,1,3,5,-2,8
Leicester City,5,2,1,2,7,9,-2,7
Manchester United,5,1,2,2,4,5,-1,5
Southampton,5,1,2,2,2,4,-2,5
Stoke City,5,1,2,2,4,8,-4,5
Burnley,5,1,1,3,6,8,-2,4
Everton,5,1,1,3,2,7,-5,4
Middlesbrough,5,1,1,3,4,10,-6,4
Hull City,5,1,1,3,3,13,-10,4
Crystal Palace,5,1,0,4,4,10,-6,3
Sunderland,5,1,0,4,3,10,-7,3
West Bromwich Albion,5,0,1,4,4,9,-5,1
Watford,5,0,0,5,3,14,-11,0
