Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Manchester United,19,18,1,0,49,12,37,55
Chelsea,19,14,3,2,39,13,26,45
Manchester City,19,13,4,2,34,12,22,43
Liverpool,19,12,4,3,37,14,23,40
Arsenal,19,11,4,4,33,15,18,37
Tottenham Hotspur,19,9,9,1,30,19,11,36
Bolton Wanderers,19,10,5,4,34,24,10,35
Stoke City,19,10,4,5,31,18,13,34
Everton,19,9,7,3,31,23,8,34
Fulham,19,8,7,4,30,23,7,31
Aston Villa,19,8,7,4,26,19,7,31
West Bromwich Albion,19,8,6,5,30,30,0,30
Blackburn Rovers,19,7,7,5,22,16,6,28
Wolverhampton Wanderers,19,8,4,7,30,30,0,28
Newcastle United,19,6,8,5,41,27,14,26
Sunderland,19,7,5,7,25,27,-2,26
Birmingham City,19,6,8,5,19,22,-3,26
Wigan Athletic,19,5,8,6,22,34,-12,23
Blackpool,19,5,5,9,30,37,-7,20
West Ham United,19,5,5,9,24,31,-7,20
