Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts,xG,xGConceded,xPoints,xPosition
Manchester City,38,29,6,3,99,26,73,93,90.53979963064194,24.747199788689613,92.11048277361519,1
Liverpool,38,28,8,2,94,26,68,92,92.03089940547943,34.254099644720554,86.40928863120952,2
Chelsea,38,21,11,6,76,33,43,74,65.21560019254684,34.566100001335144,71.23786579524928,3
Arsenal,38,22,3,13,61,48,13,69,62.39279943704605,45.94199960678816,65.65417829853442,4
Tottenham Hotspur,38,22,5,11,69,40,29,71,62.11949993669987,40.558399960398674,65.1894361587546,5
Crystal Palace,38,11,15,12,50,46,4,48,47.89180026948452,41.218300089240074,57.70617025094563,6
Manchester United,38,16,10,12,57,57,0,58,56.162900023162365,54.831900000572205,54.94589455350559,7
Brighton & Hove Albion,38,12,15,11,42,44,-2,51,47.76760022342205,45.19900020956993,53.79053228067863,8
Brentford,38,13,7,18,48,56,-8,46,47.97519984841347,49.334399953484535,52.18036483377538,9
West Ham United,38,16,8,14,60,51,9,56,52.050099700689316,54.52489984035492,51.085978503911754,10
Aston Villa,38,13,6,19,52,54,-2,45,45.59779995679855,49.672099724411964,50.76201471209948,11
Leicester City,38,14,10,14,62,59,3,52,48.252100095152855,61.006799787282944,43.95887602249578,12
Everton,38,11,6,21,43,66,-23,39,42.23270024359226,57.42019999027252,43.67621161886361,13
Southampton,38,9,13,16,43,67,-24,40,45.52189999818802,61.390299677848816,42.75018292611737,14
Newcastle United,38,13,10,15,44,62,-18,49,38.59210003912449,59.16160026192665,41.14568189217508,15
Wolverhampton Wanderers,38,15,6,17,38,43,-5,51,38.85009975731373,59.0305001437664,40.25071151150078,16
Leeds United,38,9,11,18,42,79,-37,38,45.28259992599487,69.40599985420704,40.16635934024863,17
Burnley,38,7,14,17,34,53,-19,35,40.94000003486872,58.547400176525116,39.457086356703705,18
Watford,38,6,5,27,34,77,-43,23,41.28750026226044,65.57770031690598,37.07144057035602,19
Norwich City,38,5,7,26,23,84,-61,22,33.33879987895489,77.65289983153343,28.10743063701833,20
