Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Manchester City,5,4,1,0,12,6,6,13
Brentford,5,4,1,0,15,9,6,13
Arsenal,5,3,2,0,12,6,6,11
Tottenham Hotspur,4,3,0,1,11,3,8,9
Liverpool,4,3,0,1,7,2,5,9
Brighton & Hove Albion,5,2,3,0,9,7,2,9
Aston Villa,5,2,2,1,7,6,1,8
Chelsea,5,2,2,1,8,7,1,8
AFC Bournemouth,4,2,1,1,6,3,3,7
Fulham,4,2,1,1,7,6,1,7
Newcastle United,4,2,1,1,4,3,1,7
West Ham United,5,2,0,3,8,10,-2,6
Manchester United,4,2,0,2,3,7,-4,6
Nottingham Forest,4,1,2,1,3,3,0,5
Leicester City,5,1,2,2,5,7,-2,5
Crystal Palace,5,1,2,2,3,5,-2,5
Everton,5,1,2,2,5,8,-3,5
Ipswich Town,4,0,2,2,3,7,-4,2
Southampton,4,0,1,3,3,8,-5,1
Wolverhampton Wanderers,4,0,0,4,5,12,-7,0
